rating,title,genres
3.0,Entrapment (1999),Crime|Thriller
4.0,For Whom the Bell Tolls (1943),Adventure|Drama|Romance|War
4.0,"Emperor's New Groove, The (2000)",Adventure|Animation|Children|Comedy|Fantasy
2.0,Red Planet (2000),Action|Sci-Fi|Thriller
2.0,Super Mario Bros. (1993),Action|Adventure|Children|Comedy|Fantasy|Sci-Fi
3.0,"Island of Dr. Moreau, The (1996)",Sci-Fi|Thriller
5.0,Silver Linings Playbook (2012),Comedy|Drama
2.0,Pitch Black (2000),Horror|Sci-Fi|Thriller
2.5,Fantastic Four (2005),Action|Adventure|Sci-Fi
3.0,Jumanji (1995),Adventure|Children|Fantasy
4.0,Ghostbusters (a.k.a. Ghost Busters) (1984),Action|Comedy|Sci-Fi
5.0,"Boot, Das (Boat, The) (1981)",Action|Drama|War
5.0,Brazil (1985),Fantasy|Sci-Fi
3.0,Lifeboat (1944),Drama|War
3.5,Rain Man (1988),Drama
4.0,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
3.5,Screamers (1995),Action|Sci-Fi|Thriller
1.0,Margot at the Wedding (2007),Drama
4.0,Help! (1965),Comedy|Musical
2.5,Smokin' Aces (2006),Action|Crime|Drama|Thriller
3.0,"Misérables, Les (2012)",Drama|Musical|Romance|IMAX
3.0,"Russia House, The (1990)",Drama|Thriller
2.0,Ghostbusters II (1989),Comedy|Fantasy|Sci-Fi
5.0,Chicken Run (2000),Animation|Children|Comedy
4.0,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
5.0,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi
3.0,Dune (1984),Adventure|Sci-Fi
3.5,Dawn of the Dead (1978),Action|Drama|Horror
1.0,Little Women (1994),Drama
3.5,Birdman: Or (The Unexpected Virtue of Ignorance) (2014),Comedy|Drama
4.5,Natural Born Killers (1994),Action|Crime|Thriller
4.5,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi
4.0,Double Indemnity (1944),Crime|Drama|Film-Noir
4.5,1408 (2007),Drama|Horror|Thriller
4.5,Aliens (1986),Action|Adventure|Horror|Sci-Fi
5.0,Out of Sight (1998),Comedy|Crime|Drama|Romance|Thriller
4.0,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama
4.0,Braveheart (1995),Action|Drama|War
3.0,Beetlejuice (1988),Comedy|Fantasy
5.0,Searching for Bobby Fischer (1993),Drama
4.0,28 Days Later (2002),Action|Horror|Sci-Fi
4.0,"Truth About Cats & Dogs, The (1996)",Comedy|Romance
4.5,Steel Magnolias (1989),Drama
4.5,Gladiator (2000),Action|Adventure|Drama
4.0,Night Watch (Nochnoy dozor) (2004),Action|Fantasy|Horror|Mystery|Sci-Fi|Thriller
4.0,Australia (2008),Adventure|Drama|War|Western
4.0,Key Largo (1948),Crime|Drama|Film-Noir|Thriller
3.0,"Naked Gun 2 1/2: The Smell of Fear, The (1991)",Comedy
2.0,Vanilla Sky (2001),Mystery|Romance|Sci-Fi|Thriller
2.5,Crimes and Misdemeanors (1989),Comedy|Crime|Drama
4.0,Midnight in the Garden of Good and Evil (1997),Crime|Drama|Mystery
2.0,World Trade Center (2006),Drama
1.0,Made in U.S.A. (1966),Crime|Mystery
4.0,What Women Want (2000),Comedy|Romance
4.0,"Cotton Club, The (1984)",Crime|Musical
2.0,Mrs. Doubtfire (1993),Comedy|Drama
4.5,Blade Runner (1982),Action|Sci-Fi|Thriller
4.0,Harold and Maude (1971),Comedy|Drama|Romance
5.0,Let the Right One In (Låt den rätte komma in) (2008),Drama|Fantasy|Horror|Romance
4.5,Spirited Away (Sen to Chihiro no kamikakushi) (2001),Adventure|Animation|Fantasy
